year,Team,GP,W,L,T,OTL,SOL,Pts,GF,GA,PIM,Att.,Coach,Playoff Results
2009,Dallas Stars,82,37,31,0,4,10,88,237,254,963,"17,215",Marc Crawford,Out of Playoffs
2009,Washington Capitals,82,54,15,0,7,6,121,318,233,940,"18,277",Bruce Boudreau,Lost in round 1
2009,Atlanta Thrashers,82,35,34,0,7,6,83,234,256,1053,"13,607",John Anderson,Out of Playoffs
2009,Tampa Bay Lightning,82,34,36,0,5,7,80,217,260,1377,"15,497",Rick Tocchet,Out of Playoffs
2009,Carolina Hurricanes,82,35,37,0,5,5,80,230,256,966,"15,240",Paul Maurice,Out of Playoffs
2009,Florida Panthers,82,32,37,0,3,10,77,208,244,977,"15,146",Peter DeBoer,Out of Playoffs
2010,Pittsburgh Penguins,82,49,25,0,5,3,106,238,199,1388,"18,240",Dan Bylsma,Lost in round 1
2010,Philadelphia Flyers,82,47,23,0,5,7,106,259,223,1119,"19,715",Peter Laviolette,Lost in round 2
2010,New York Rangers,82,44,33,0,2,3,93,233,198,1074,"18,108",John Tortorella,Lost in round 1
2010,New Jersey Devils,82,38,39,0,3,2,81,174,209,765,"14,775","MacLean, Lemaire {+}",Out of Playoffs
2010,New York Islanders,82,30,39,0,7,6,73,229,264,1515,"11,059","Gordon, Capuano {+}",Out of Playoffs
2010,Detroit Red Wings,82,47,25,0,6,4,104,261,241,754,"19,680",Mike Babcock,Lost in round 2
2010,Nashville Predators,82,44,27,0,7,4,99,219,194,720,"16,142",Barry Trotz,Lost in round 2
2010,Chicago Blackhawks,82,44,29,0,4,5,97,258,225,742,"21,423",Joel Quenneville,Lost in round 1
2010,St. Louis Blues,82,38,33,0,5,6,87,240,234,1225,"19,150",Davis Payne,Out of Playoffs
2010,Columbus Blue Jackets,82,34,35,0,5,8,81,215,258,1113,"13,658",Scott Arniel,Out of Playoffs
2010,Boston Bruins,82,46,25,0,5,6,103,246,195,1115,"17,565",Claude Julien,Won Championship
2010,Montreal Canadiens,82,44,30,0,5,3,96,216,209,1097,"21,273",Jacques Martin,Lost in round 1
2010,Buffalo Sabres,82,43,29,0,9,1,96,245,229,958,"18,452",Lindy Ruff,Lost in round 1
2010,Toronto Maple Leafs,82,37,34,0,5,6,85,218,251,985,"19,354",Ron Wilson,Out of Playoffs
2010,Ottawa Senators,82,32,40,0,5,5,74,192,250,1149,"18,378",Cory Clouston,Out of Playoffs
2010,Vancouver Canucks,82,54,19,0,4,5,117,262,185,943,"18,860",Alain Vigneault,Lost in Finals
2010,Calgary Flames,82,41,29,0,5,7,94,250,237,836,"19,289",Brent Sutter,Out of Playoffs
2010,Minnesota Wild,82,39,35,0,3,5,86,206,233,983,"18,012",Todd Richards,Out of Playoffs
2010,Colorado Avalanche,82,30,44,0,7,1,68,227,288,1077,"14,820",Joe Sacco,Out of Playoffs
2010,Edmonton Oilers,82,25,45,0,3,9,62,193,269,1270,"16,839",Tom Renney,Out of Playoffs
2010,San Jose Sharks,82,48,25,0,4,5,105,248,213,931,"17,562",Todd McLellan,Lost in round 3
2010,Phoenix Coyotes,82,43,26,0,7,6,99,231,226,863,"12,188",Dave Tippett,Lost in round 1
2010,Anaheim Ducks,82,47,30,0,3,2,99,239,235,1178,"14,738",Randy Carlyle,Lost in round 1
2010,Los Angeles Kings,82,46,30,0,4,2,98,219,198,962,"18,083",Terry Murray,Lost in round 1
2010,Dallas Stars,82,42,29,0,4,7,95,227,233,1066,"15,073",Marc Crawford,Out of Playoffs
2010,Washington Capitals,82,48,23,0,5,6,107,224,197,926,"18,397",Bruce Boudreau,Lost in round 2
2010,Tampa Bay Lightning,82,46,25,0,5,6,103,247,240,905,"17,268",Guy Boucher,Lost in round 3
2010,Carolina Hurricanes,82,40,31,0,6,5,91,236,239,835,"16,415",Paul Maurice,Out of Playoffs
2010,Atlanta Thrashers,82,34,36,0,5,7,80,223,269,930,"13,469",Craig Ramsay,Out of Playoffs
2010,Florida Panthers,82,30,40,0,5,7,72,195,229,716,"15,685",Peter DeBoer,Out of Playoffs
2011,New York Rangers,82,51,24,0,2,5,109,226,187,0,"18,192",John Tortorella,Lost in round 3
2011,Pittsburgh Penguins,82,51,25,0,3,3,108,282,221,0,"18,566",Dan Bylsma,Lost in round 1
2011,Philadelphia Flyers,82,47,26,0,2,7,103,264,232,0,"20,433",Peter Laviolette,Lost in round 2
2011,New Jersey Devils,82,48,28,0,2,4,102,228,209,0,"15,397",Peter DeBoer,Lost in Finals
2011,New York Islanders,82,34,37,0,7,4,79,203,255,0,"13,191",Jack Capuano,Out of Playoffs
2011,St. Louis Blues,82,49,22,0,1,10,109,210,165,0,"18,810","Payne, Hitchcock {+}",Lost in round 2
2011,Nashville Predators,82,48,26,0,3,5,104,237,210,0,"16,691",Barry Trotz,Lost in round 2
2011,Detroit Red Wings,82,48,28,0,3,3,102,248,203,0,"20,066",Mike Babcock,Lost in round 1
2011,Chicago Blackhawks,82,45,26,0,4,7,101,248,238,0,"21,534",Joel Quenneville,Lost in round 1
2011,Columbus Blue Jackets,82,29,46,0,2,5,65,202,262,0,"14,660","Arniel, Richards {+}",Out of Playoffs
2011,Boston Bruins,82,49,29,0,1,3,102,269,202,0,"17,565",Claude Julien,Lost in round 1
2011,Ottawa Senators,82,41,31,0,6,4,92,249,240,0,"19,356",Paul MacLean,Lost in round 1
2011,Buffalo Sabres,82,39,32,0,4,7,89,218,230,0,"18,550",Lindy Ruff,Out of Playoffs
2011,Toronto Maple Leafs,82,35,37,0,5,5,80,231,264,0,"19,507","Wilson, Carlyle {+}",Out of Playoffs
2011,Montreal Canadiens,82,31,35,0,4,12,78,212,226,0,"21,273","Martin, Cunneyworth {+}",Out of Playoffs
2011,Vancouver Canucks,82,51,22,0,2,7,111,249,198,0,"18,884",Alain Vigneault,Lost in round 1
2011,Calgary Flames,82,37,29,0,7,9,90,202,226,0,"19,289",Brent Sutter,Out of Playoffs
2011,Colorado Avalanche,82,41,35,0,4,2,88,208,220,0,"15,499",Joe Sacco,Out of Playoffs
2011,Minnesota Wild,82,35,36,0,2,9,81,177,226,0,"17,773",Mike Yeo,Out of Playoffs
2011,Edmonton Oilers,82,32,40,0,3,7,74,212,239,0,"16,839",Tom Renney,Out of Playoffs
2011,Phoenix Coyotes,82,42,27,0,3,10,97,216,204,0,"12,421",Dave Tippett,Lost in round 3
2011,San Jose Sharks,82,43,29,0,5,5,96,228,210,0,"17,562",Todd McLellan,Lost in round 1
2011,Los Angeles Kings,82,40,27,0,6,9,95,194,179,0,"17,920","Murray, Stevens, Sutter {+}",Won Championship
2011,Dallas Stars,82,42,35,0,1,4,89,211,222,0,"14,227",Glen Gulutzan,Out of Playoffs
2011,Anaheim Ducks,82,34,36,0,5,7,80,204,231,0,"14,760","Carlyle, Boudreau {+}",Out of Playoffs
2011,Florida Panthers,82,38,26,0,7,11,94,203,227,0,"16,628",Kevin Dineen,Lost in round 1
2011,Washington Capitals,82,42,32,0,4,4,92,222,230,0,"18,506","Boudreau, Hunter {+}",Lost in round 2
2011,Tampa Bay Lightning,82,38,36,0,5,3,84,235,281,0,"18,468",Guy Boucher,Out of Playoffs
2011,Winnipeg Jets,82,37,35,0,6,4,84,225,246,0,"15,004",Claude Noel,Out of Playoffs
2011,Carolina Hurricanes,82,33,33,0,10,6,82,213,243,0,"16,043","Maurice, Muller {+}",Out of Playoffs
2012,Pittsburgh Penguins,48,36,12,0,0,0,72,165,119,0,"18,648",Dan Bylsma,Lost in round 3
2012,New York Rangers,48,26,18,0,0,4,56,130,112,0,"17,200",John Tortorella,Lost in round 2
2012,New York Islanders,48,24,17,0,4,3,55,139,139,0,"13,307",Jack Capuano,Lost in round 1
2012,Philadelphia Flyers,48,23,22,0,1,2,49,133,141,0,"19,787",Peter Laviolette,Out of Playoffs
2012,New Jersey Devils,48,19,19,0,3,7,48,112,129,0,"17,114",Peter DeBoer,Out of Playoffs
2012,Chicago Blackhawks,48,36,7,0,0,5,77,155,102,0,"21,776",Joel Quenneville,Won Championship
2012,St. Louis Blues,48,29,17,0,1,1,60,129,115,0,"17,901",Ken Hitchcock,Lost in round 1
2012,Detroit Red Wings,48,24,16,0,3,5,56,124,115,0,"20,066",Mike Babcock,Lost in round 2
2012,Columbus Blue Jackets,48,24,17,0,3,4,55,120,119,0,"14,565",Todd Richards,Out of Playoffs
2012,Nashville Predators,48,16,23,0,3,6,41,111,139,0,"16,974",Barry Trotz,Out of Playoffs
2012,Montreal Canadiens,48,29,14,0,3,2,63,149,126,0,"21,273",Michel Therrien,Lost in round 1
2012,Boston Bruins,48,28,14,0,3,3,62,131,109,0,"17,565",Claude Julien,Lost in Finals
2012,Toronto Maple Leafs,48,26,17,0,0,5,57,145,133,0,"19,426",Randy Carlyle,Lost in round 1
2012,Ottawa Senators,48,25,17,0,2,4,56,116,104,0,"19,408",Paul MacLean,Lost in round 2
2012,Buffalo Sabres,48,21,21,0,2,4,48,125,143,0,"18,970","Ruff, Rolston {+}",Out of Playoffs
2012,Vancouver Canucks,48,26,15,0,1,6,59,127,121,0,"18,948",Alain Vigneault,Lost in round 1
2012,Minnesota Wild,48,26,19,0,1,2,55,122,127,0,"18,795",Mike Yeo,Lost in round 1
2012,Edmonton Oilers,48,19,22,0,4,3,45,125,134,0,"16,839",Ralph Krueger,Out of Playoffs
2012,Calgary Flames,48,19,25,0,1,3,42,128,160,0,"19,289",Bob Hartley,Out of Playoffs
2012,Colorado Avalanche,48,16,25,0,5,2,39,116,152,0,"15,445",Joe Sacco,Out of Playoffs
2012,Anaheim Ducks,48,30,12,0,3,3,66,140,118,0,"15,888",Bruce Boudreau,Lost in round 1
2012,Los Angeles Kings,48,27,16,0,1,4,59,133,118,0,"18,179",Darryl Sutter,Lost in round 3
2012,San Jose Sharks,48,25,16,0,3,4,57,124,116,0,"17,562",Todd McLellan,Lost in round 2
2012,Phoenix Coyotes,48,21,18,0,3,6,51,125,131,0,"13,924",Dave Tippett,Out of Playoffs
2012,Dallas Stars,48,22,22,0,3,1,48,130,142,0,"17,063",Glen Gulutzan,Out of Playoffs
2012,Washington Capitals,48,27,18,0,3,0,57,149,130,0,"18,506",Adam Oates,Lost in round 1
2012,Winnipeg Jets,48,24,21,0,0,3,51,128,144,0,"15,004",Claude Noel,Out of Playoffs
2012,Carolina Hurricanes,48,19,25,0,3,1,42,128,160,0,"17,560",Kirk Muller,Out of Playoffs
2012,Tampa Bay Lightning,48,18,26,0,1,3,40,148,150,0,"19,056","Boucher, Cooper {+}",Out of Playoffs
2012,Florida Panthers,48,15,27,0,5,1,36,112,171,0,"16,992",Kevin Dineen,Out of Playoffs
2013,Boston Bruins,82,54,19,0,3,6,117,261,177,886,"17,565",Claude Julien,Lost in round 2
2013,Tampa Bay Lightning,82,46,27,0,3,6,101,240,215,844,"18,612",Jon Cooper,Lost in round 1
2013,Montreal Canadiens,82,46,28,0,5,3,100,215,204,1063,"21,273",Michel Therrien,Lost in round 3
2013,Detroit Red Wings,82,39,28,0,6,9,93,222,230,725,"22,150",Mike Babcock,Lost in round 1
2013,Ottawa Senators,82,37,31,0,7,7,88,236,265,1094,"18,109",Paul MacLean,Out of Playoffs
2013,Toronto Maple Leafs,82,38,36,0,4,4,84,231,256,1040,"19,447",Randy Carlyle,Out of Playoffs
2013,Florida Panthers,82,29,45,0,2,6,66,196,268,848,"14,525","Dineen, Horachek {+}",Out of Playoffs
2013,Buffalo Sabres,82,21,51,0,5,5,52,157,248,903,"18,580","Rolston, Nolan {+}",Out of Playoffs
2013,Colorado Avalanche,82,52,22,0,4,4,112,250,220,891,"16,296",Patrick Roy,Lost in round 1
2013,St. Louis Blues,82,52,23,0,4,3,111,248,191,1162,"17,498",Ken Hitchcock,Lost in round 1
2013,Chicago Blackhawks,82,46,21,0,7,8,107,267,220,699,"22,623",Joel Quenneville,Lost in round 3
2013,Minnesota Wild,82,43,27,0,4,8,98,207,206,783,"18,506",Mike Yeo,Lost in round 2
2013,Dallas Stars,82,40,31,0,6,5,91,235,228,900,"15,421",Lindy Ruff,Lost in round 1
2013,Nashville Predators,82,38,32,0,3,9,88,216,242,808,"16,600",Barry Trotz,Out of Playoffs
2013,Winnipeg Jets,82,37,35,0,4,6,84,227,237,973,"15,004","Noel, Maurice {+}",Out of Playoffs
2013,Pittsburgh Penguins,82,51,24,0,4,3,109,249,207,832,"18,618",Dan Bylsma,Lost in round 2
2013,New York Rangers,82,45,31,0,3,3,96,218,193,817,"18,006",Alain Vigneault,Lost in Finals
2013,Philadelphia Flyers,82,42,30,0,2,8,94,236,235,1180,"19,839","Laviolette, Berube {+}",Lost in round 1
2013,Columbus Blue Jackets,82,43,32,0,5,2,93,231,216,910,"14,698",Todd Richards,Lost in round 1
2013,Washington Capitals,82,38,30,0,3,11,90,235,240,960,"18,506",Adam Oates,Out of Playoffs
2013,New Jersey Devils,82,35,29,0,5,13,88,197,208,656,"15,868",Peter DeBoer,Out of Playoffs
2013,Carolina Hurricanes,82,36,35,0,7,4,83,207,230,650,"15,484",Kirk Muller,Out of Playoffs
2013,New York Islanders,82,34,37,0,5,6,79,225,267,1015,"14,741",Jack Capuano,Out of Playoffs
2013,Anaheim Ducks,82,54,20,0,2,6,116,266,209,894,"16,469",Bruce Boudreau,Lost in round 2
2013,San Jose Sharks,82,51,22,0,2,7,111,249,200,737,"17,562",Todd McLellan,Lost in round 1
2013,Los Angeles Kings,82,46,28,0,2,6,100,206,174,876,"19,018",Darryl Sutter,Won Championship
2013,Phoenix Coyotes,82,37,30,0,8,7,89,216,231,810,"13,776",Dave Tippett,Out of Playoffs
2013,Vancouver Canucks,82,36,35,0,4,7,83,196,223,1115,"19,771",John Tortorella,Out of Playoffs
2013,Calgary Flames,82,35,40,0,4,3,77,209,241,858,"19,302",Bob Hartley,Out of Playoffs
2013,Edmonton Oilers,82,29,44,0,6,3,67,203,270,966,"16,828",Dallas Eakins,Out of Playoffs
2014,Montreal Canadiens,82,50,22,0,5,5,110,221,189,0,"21,287",Michel Therrien,Lost in round 2
2014,Tampa Bay Lightning,82,50,24,0,3,5,108,262,211,0,"18,823",Jon Cooper,Lost in Finals
2014,Detroit Red Wings,82,43,25,0,4,10,100,235,221,0,"20,027",Mike Babcock,Lost in round 1
2014,Ottawa Senators,82,43,26,0,6,7,99,238,215,0,"18,247","MacLean, Cameron {+}",Lost in round 1
2014,Boston Bruins,82,41,27,0,4,10,96,213,211,0,"17,565",Claude Julien,Out of Playoffs
2014,Florida Panthers,82,38,29,0,5,10,91,206,223,0,"11,271",Gerard Gallant,Out of Playoffs
2014,Toronto Maple Leafs,82,30,44,0,3,5,68,211,262,0,"19,063","Carlyle, Horachek {+}",Out of Playoffs
2014,Buffalo Sabres,82,23,51,0,3,5,54,161,274,0,"18,581",Ted Nolan,Out of Playoffs
2014,St. Louis Blues,82,51,24,0,3,4,109,248,201,0,"18,545",Ken Hitchcock,Lost in round 1
2014,Nashville Predators,82,47,25,0,4,6,104,232,208,0,"16,854",Peter Laviolette,Lost in round 1
2014,Chicago Blackhawks,82,48,28,0,3,3,102,229,189,0,"21,769",Joel Quenneville,Won Championship
2014,Minnesota Wild,82,46,28,0,5,3,100,231,201,0,"19,023",Mike Yeo,Lost in round 2
2014,Winnipeg Jets,82,43,26,0,7,6,99,230,210,0,"15,038",Paul Maurice,Lost in round 1
2014,Dallas Stars,82,41,31,0,7,3,92,261,260,0,"17,350",Lindy Ruff,Out of Playoffs
2014,Colorado Avalanche,82,39,31,0,8,4,90,219,227,0,"16,177",Patrick Roy,Out of Playoffs
2014,New York Rangers,82,53,22,0,2,5,113,252,192,0,"18,006",Alain Vigneault,Lost in round 3
2014,New York Islanders,82,47,28,0,1,6,101,252,230,0,"15,335",Jack Capuano,Lost in round 1
2014,Washington Capitals,82,45,26,0,7,4,101,242,203,0,"19,099",Barry Trotz,Lost in round 2
2014,Pittsburgh Penguins,82,43,27,0,6,6,98,221,210,0,"18,618",Mike Johnston,Lost in round 1
2014,Columbus Blue Jackets,82,42,35,0,3,2,89,236,250,0,"15,512",Todd Richards,Out of Playoffs
2014,Philadelphia Flyers,82,33,31,0,7,11,84,215,234,0,"19,271",Craig Berube,Out of Playoffs
2014,New Jersey Devils,82,32,36,0,7,7,78,181,216,0,"15,190","DeBoer, Lamoriello {+}",Out of Playoffs
2014,Carolina Hurricanes,82,30,41,0,4,7,71,188,226,0,"12,716",Bill Peters,Out of Playoffs
2014,Anaheim Ducks,82,51,24,0,2,5,109,236,226,887,"16,874",Bruce Boudreau,Lost in round 3
2014,Vancouver Canucks,82,48,29,0,3,2,101,242,222,0,"18,711",Willie Desjardins,Lost in round 1
2014,Calgary Flames,82,45,30,0,4,3,97,241,216,0,"19,097",Bob Hartley,Lost in round 2
2014,Los Angeles Kings,82,40,27,0,7,8,95,220,205,0,"18,266",Darryl Sutter,Out of Playoffs
2014,San Jose Sharks,82,40,33,0,3,6,89,228,232,0,"18,708",Todd McLellan,Out of Playoffs
2014,Edmonton Oilers,82,24,44,0,7,7,62,198,283,0,"16,839","Eakins, MacTavish, Nelson {+}",Out of Playoffs
2014,Arizona Coyotes,82,24,50,0,3,5,56,170,272,0,"13,345",Dave Tippett,Out of Playoffs
2015,Florida Panthers,82,47,26,0,6,3,103,239,203,0,"15,384",Gerard Gallant,Lost in round 1
2015,Tampa Bay Lightning,82,46,31,0,2,3,97,227,201,0,"19,092",Jon Cooper,Lost in round 3
2015,Detroit Red Wings,82,41,30,0,6,5,93,211,224,0,"20,027",Jeff Blashill,Lost in round 1
2015,Boston Bruins,82,42,31,0,7,2,93,240,230,0,"18,777",Claude Julien,Out of Playoffs
2015,Ottawa Senators,82,38,35,0,3,6,85,236,247,0,"18,085",Dave Cameron,Out of Playoffs
2015,Montreal Canadiens,82,38,38,0,3,3,82,221,236,0,"21,288",Michel Therrien,Out of Playoffs
2015,Buffalo Sabres,82,35,36,0,4,7,81,201,222,0,"18,541",Dan Bylsma,Out of Playoffs
2015,Toronto Maple Leafs,82,29,42,0,5,6,69,198,246,0,"19,158",Mike Babcock,Out of Playoffs
2015,Dallas Stars,82,50,23,0,7,2,109,267,230,0,"18,377",Lindy Ruff,Lost in round 2
2015,St. Louis Blues,82,49,24,0,5,4,107,224,201,0,"18,451",Ken Hitchcock,Lost in round 3
2015,Chicago Blackhawks,82,47,26,0,7,2,103,235,209,0,"21,860",Joel Quenneville,Lost in round 1
2015,Nashville Predators,82,41,27,0,12,2,96,228,215,0,"16,971",Peter Laviolette,Lost in round 2
2015,Minnesota Wild,82,38,33,0,9,2,87,216,206,0,"19,827","Yeo, Torchetti {+}",Lost in round 1
2015,Colorado Avalanche,82,39,39,0,4,0,82,216,240,0,"17,032",Patrick Roy,Out of Playoffs
2015,Winnipeg Jets,82,35,39,0,5,3,78,215,239,0,"15,294",Paul Maurice,Out of Playoffs
2015,Washington Capitals,82,56,18,0,6,2,120,252,193,0,"18,511",Barry Trotz,Lost in round 2
2015,Pittsburgh Penguins,82,48,26,0,4,4,104,245,203,0,"18,551","Johnston, Sullivan {+}",Won Championship
2015,New York Rangers,82,46,27,0,7,2,101,236,217,0,"18,006",Alain Vigneault,Lost in round 1
2015,New York Islanders,82,45,27,0,5,5,100,232,216,0,"13,627",Jack Capuano,Lost in round 2
2015,Philadelphia Flyers,82,41,27,0,6,8,96,214,218,0,"19,227",Dave Hakstol,Lost in round 1
2015,Carolina Hurricanes,82,35,31,0,11,5,86,198,226,0,"12,204",Bill Peters,Out of Playoffs
2015,New Jersey Devils,82,38,36,0,2,6,84,184,208,0,"15,074",John Hynes,Out of Playoffs
2015,Columbus Blue Jackets,82,34,40,0,4,4,76,219,252,0,"14,666","Richards, Tortorella {+}",Out of Playoffs
2015,Anaheim Ducks,82,46,25,0,7,4,103,218,192,0,"16,337",Bruce Boudreau,Lost in round 1
2015,Los Angeles Kings,82,48,28,0,3,3,102,225,195,0,"18,274",Darryl Sutter,Lost in round 1
2015,San Jose Sharks,82,46,30,0,3,3,98,241,210,0,"16,747",Peter DeBoer,Lost in Finals
2015,Arizona Coyotes,82,35,39,0,7,1,78,209,245,0,"13,350",Dave Tippett,Out of Playoffs
2015,Calgary Flames,82,35,40,0,4,3,77,231,260,0,"19,146",Bob Hartley,Out of Playoffs
2015,Vancouver Canucks,82,31,38,0,9,4,75,191,243,0,"18,431",Willie Desjardins,Out of Playoffs
2015,Edmonton Oilers,82,31,43,0,5,3,70,203,245,0,"16,841",Todd McLellan,Out of Playoffs
2016,Montreal Canadiens,82,47,26,0,7,2,103,226,200,0,"21,288","Therrien, Julien {+}",Lost in round 1
2016,Ottawa Senators,82,44,28,0,6,4,98,212,214,0,"16,744",Guy Boucher,Lost in round 3
2016,Toronto Maple Leafs,82,40,27,0,7,8,95,251,242,0,"19,764",Mike Babcock,Lost in round 1
2016,Boston Bruins,82,44,31,0,4,3,95,234,212,0,"17,565","Julien, Cassidy {+}",Lost in round 1
2016,Tampa Bay Lightning,82,42,30,0,7,3,94,234,227,0,"19,092",Jon Cooper,Out of Playoffs
2016,Florida Panthers,82,35,36,0,5,6,81,210,237,0,"14,621","Gallant, Rowe {+}",Out of Playoffs
2016,Detroit Red Wings,82,33,36,0,13,0,79,207,244,0,"20,027",Jeff Blashill,Out of Playoffs
2016,Buffalo Sabres,82,33,37,0,6,6,78,201,237,0,"18,592",Dan Bylsma,Out of Playoffs
2016,Chicago Blackhawks,82,50,23,0,8,1,109,244,213,0,"21,752",Joel Quenneville,Lost in round 1
2016,Minnesota Wild,82,49,25,0,6,2,106,266,208,0,"19,070",Bruce Boudreau,Lost in round 1
2016,St. Louis Blues,82,46,29,0,5,2,99,235,218,0,"19,540","Hitchcock, Yeo {+}",Lost in round 2
2016,Nashville Predators,82,41,29,0,8,4,94,240,224,0,"17,160",Peter Laviolette,Lost in Finals
2016,Winnipeg Jets,82,40,35,0,6,1,87,249,256,0,"15,732",Paul Maurice,Out of Playoffs
2016,Dallas Stars,82,34,37,0,9,2,79,223,262,0,"18,102",Lindy Ruff,Out of Playoffs
2016,Colorado Avalanche,82,22,56,0,2,2,48,166,278,0,"14,835",Jared Bednar,Out of Playoffs
2016,Washington Capitals,82,55,19,0,3,5,118,263,182,0,"18,506",Barry Trotz,Lost in round 2
2016,Pittsburgh Penguins,82,50,21,0,6,5,111,282,234,0,"19,763",Mike Sullivan,Won Championship
2016,Columbus Blue Jackets,82,50,24,0,6,2,108,249,195,0,"15,857",John Tortorella,Lost in round 1
2016,New York Rangers,82,48,28,0,2,4,102,256,220,0,"18,020",Alain Vigneault,Lost in round 2
2016,New York Islanders,82,41,29,0,8,4,94,241,242,0,"13,101","Capuano, Weight {+}",Out of Playoffs
2016,Philadelphia Flyers,82,39,33,0,5,5,88,219,236,0,"19,644",Dave Hakstol,Out of Playoffs
2016,Carolina Hurricanes,82,36,31,0,9,6,87,215,236,0,"11,776",Bill Peters,Out of Playoffs
2016,New Jersey Devils,82,28,40,0,11,3,70,183,244,0,"14,567",John Hynes,Out of Playoffs
2016,Anaheim Ducks,82,46,23,0,10,3,105,223,200,0,"15,942",Randy Carlyle,Lost in round 3
2016,Edmonton Oilers,82,47,26,0,4,5,103,247,212,0,"18,347",Todd McLellan,Lost in round 2
2016,San Jose Sharks,82,46,29,0,6,1,99,221,201,0,"17,508",Peter DeBoer,Lost in round 1
2016,Calgary Flames,82,45,33,0,2,2,94,226,221,0,"18,728",Glen Gulutzan,Lost in round 1
2016,Los Angeles Kings,82,39,35,0,4,4,86,201,205,0,"18,240",Darryl Sutter,Out of Playoffs
2016,Arizona Coyotes,82,30,42,0,8,2,70,197,260,0,"13,095",Dave Tippett,Out of Playoffs
2016,Vancouver Canucks,82,30,43,0,7,2,69,182,243,0,"18,510",Willie Desjardins,Out of Playoffs
2017,Tampa Bay Lightning,82,54,23,0,3,2,113,296,236,0,"19,092",Jon Cooper,Lost in round 3
2017,Boston Bruins,82,50,20,0,9,3,112,270,214,0,"17,565",Bruce Cassidy,Lost in round 2
2017,Toronto Maple Leafs,82,49,26,0,5,2,105,277,232,0,"19,187",Mike Babcock,Lost in round 1
2017,Florida Panthers,82,44,30,0,5,3,96,248,246,0,"13,851",Bob Boughner,Out of Playoffs
2017,Detroit Red Wings,82,30,39,0,12,1,73,217,255,0,"19,515",Jeff Blashill,Out of Playoffs
2017,Montreal Canadiens,82,29,40,0,7,6,71,209,264,0,"21,302",Claude Julien,Out of Playoffs
2017,Ottawa Senators,82,28,43,0,4,7,67,221,291,0,"15,829",Guy Boucher,Out of Playoffs
2017,Buffalo Sabres,82,25,45,0,10,2,62,199,280,0,"18,564",Phil Housley,Out of Playoffs
2017,Nashville Predators,82,53,18,0,4,7,117,267,211,0,"17,307",Peter Laviolette,Lost in round 2
2017,Winnipeg Jets,82,52,20,0,8,2,114,277,218,0,"15,321",Paul Maurice,Lost in round 3
2017,Minnesota Wild,82,45,26,0,8,3,101,253,232,0,"19,037",Bruce Boudreau,Lost in round 1
2017,Colorado Avalanche,82,43,30,0,8,1,95,257,237,0,"15,587",Jared Bednar,Lost in round 1
2017,St. Louis Blues,82,44,32,0,6,0,94,226,222,0,"18,357",Mike Yeo,Out of Playoffs
2017,Dallas Stars,82,42,32,0,5,3,92,235,225,0,"18,110",Ken Hitchcock,Out of Playoffs
2017,Chicago Blackhawks,82,33,39,0,8,2,76,229,256,0,"21,654",Joel Quenneville,Out of Playoffs
2017,Washington Capitals,82,49,26,0,6,1,105,259,239,0,"18,775",Barry Trotz,Won Championship
2017,Pittsburgh Penguins,82,47,29,0,4,2,100,272,250,0,"18,580",Mike Sullivan,Lost in round 2
2017,Philadelphia Flyers,82,42,26,0,7,7,98,251,243,0,"19,517",Dave Hakstol,Lost in round 1
2017,New Jersey Devils,82,44,29,0,5,4,97,248,244,0,"15,201",John Hynes,Lost in round 1
2017,Columbus Blue Jackets,82,45,30,0,3,4,97,242,230,0,"16,659",John Tortorella,Lost in round 1
2017,Carolina Hurricanes,82,36,35,0,8,3,83,228,256,0,"13,321",Bill Peters,Out of Playoffs
2017,New York Islanders,82,35,37,0,7,3,80,264,296,0,"12,002",Doug Weight,Out of Playoffs
2017,New York Rangers,82,34,39,0,4,5,77,231,268,0,"17,851",Alain Vigneault,Out of Playoffs
2017,Vegas Golden Knights,82,51,24,0,4,3,109,272,228,0,"18,042",Gerard Gallant,Lost in Finals
2017,Anaheim Ducks,82,44,25,0,6,7,101,235,216,0,"16,636",Randy Carlyle,Lost in round 1
2017,San Jose Sharks,82,45,27,0,7,3,100,252,229,0,"17,366",Peter DeBoer,Lost in round 2
2017,Los Angeles Kings,82,45,29,0,7,1,98,239,203,0,"18,240",John Stevens,Lost in round 1
2017,Calgary Flames,82,37,35,0,5,5,84,218,248,0,"18,905",Glen Gulutzan,Out of Playoffs
2017,Edmonton Oilers,82,36,40,0,5,1,78,234,263,0,"18,347",Todd McLellan,Out of Playoffs
2017,Vancouver Canucks,82,31,40,0,6,5,73,218,264,0,"18,079",Travis Green,Out of Playoffs
2017,Arizona Coyotes,82,29,41,0,7,5,70,208,256,0,"13,041",Rick Tocchet,Out of Playoffs
2018,Tampa Bay Lightning,82,62,16,0,3,1,128,325,222,0,"19,092",Jon Cooper,Lost in round 1
2018,Boston Bruins,82,49,24,0,6,3,107,259,215,0,"17,565",Bruce Cassidy,Lost in Finals
2018,Toronto Maple Leafs,82,46,28,0,6,2,100,286,251,0,"19,276",Mike Babcock,Lost in round 1
2018,Montreal Canadiens,82,44,30,0,8,0,96,249,236,0,"21,047",Claude Julien,Out of Playoffs
2018,Florida Panthers,82,36,32,0,7,7,86,267,280,0,"13,262",Bob Boughner,Out of Playoffs
2018,Buffalo Sabres,82,33,39,0,7,3,76,226,271,0,"17,908",Phil Housley,Out of Playoffs
